removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
fewest_mandatory_supports,29,5,5,5,0,0,0,0,0.2083950736,0.184784094,0.04618147632159239,0.169755798,0.258776532
fewest_mandatory_supports,31,5,5,5,0,0,0,0,0.327764124,0.33533991,0.05607152678700692,0.234429775,0.382388812
fewest_mandatory_supports,33,5,5,5,0,0,0,0,0.3774187456,0.356271676,0.040946358281489355,0.341353638,0.428761911
fewest_mandatory_supports,35,5,5,5,0,0,0,0,0.5361965532,0.546384783,0.08113222991396227,0.455817665,0.653819827
fewest_mandatory_supports,37,5,5,5,0,0,0,0,0.6617849042,0.693752075,0.12433944202834031,0.524130767,0.780390775
fewest_mandatory_supports,39,5,5,5,0,0,0,0,0.8070676717999999,0.767527722,0.10470289397828068,0.72979261,0.983322597
fewest_mandatory_supports,41,5,5,5,0,0,0,0,0.974541716,0.973998184,0.08505948256791823,0.847631438,1.077575555
fewest_mandatory_supports,43,5,5,5,0,0,0,0,0.9579365864,0.915025338,0.06670643529362051,0.903762596,1.040898174
fewest_mandatory_supports,45,5,5,5,0,0,0,0,1.2384732674,1.281556244,0.11473322952629074,1.106941629,1.356843418
fewest_mandatory_supports,47,5,5,5,0,0,0,0,1.2482907936,1.230544992,0.04362540249954633,1.217617058,1.322814936
fewest_mandatory_supports,49,5,5,5,0,0,0,0,1.5346800828,1.53521905,0.08284367068895382,1.451510605,1.645247688
fewest_mandatory_supports,51,5,5,5,0,0,0,0,1.6268197408,1.583855308,0.11148521949150274,1.513367708,1.788734876
fewest_mandatory_supports,53,5,5,5,0,0,0,0,1.6193622994,1.593220186,0.09429852986241946,1.554204882,1.782788172
fewest_mandatory_supports,55,5,5,5,0,0,0,0,2.0128215322,1.980154129,0.0974995792629697,1.923312749,2.166530766
fewest_mandatory_supports,57,5,5,5,0,0,0,0,1.9853190184,1.973412823,0.05939614184126515,1.901360408,2.044153917
fewest_mandatory_supports,59,5,5,5,0,0,0,0,2.0630117104,2.098284654,0.10447117785870144,1.888670583,2.141175847
fewest_mandatory_supports,61,5,5,5,0,0,0,0,2.2496966256,2.25108461,0.038989596105831546,2.186001422,2.285242024
fewest_mandatory_supports,63,5,5,5,0,0,0,0,2.341998115,2.269318165,0.13801956317864172,2.24062405,2.569374427
fewest_mandatory_supports,65,5,5,5,0,0,0,0,2.9954260866,2.979877734,0.07963552565009928,2.91995208,3.129226156
fewest_mandatory_supports,67,5,5,5,0,0,0,0,3.5923231738,3.569829785,0.14148751884597915,3.411890451,3.768795098
fewest_mandatory_supports,69,5,5,5,0,0,0,0,4.146629879,4.084848237,0.15330296180468095,4.016646472,4.406552968
fewest_mandatory_supports,71,5,5,5,0,0,0,0,4.8286242455999995,4.861810133,0.06596784424286825,4.736507258,4.890569354
fewest_mandatory_supports,73,5,5,5,0,0,0,0,5.4067517798,5.370809251,0.10278841208878917,5.301274617,5.532388096
fewest_mandatory_supports,75,5,5,5,0,0,0,0,6.09463366,6.125236732,0.18238856163047296,5.826349579,6.3014874
fewest_mandatory_supports,77,5,5,5,0,0,0,0,6.9072124018,6.927384518,0.10436773185395291,6.787323797,7.020528235
fewest_mandatory_supports,79,5,5,5,0,0,0,0,7.648198822,7.574200312,0.1510898366305539,7.515133652,7.859164455
fewest_mandatory_supports,81,5,5,5,0,0,0,0,8.33719283,8.37698463,0.07758026505410576,8.200012541,8.380156449
fewest_mandatory_supports,83,5,5,5,0,0,0,0,9.1473478632,9.102808484,0.12354941088432024,9.029874,9.353064368
fewest_mandatory_supports,85,5,5,5,0,0,0,0,9.3697150668,9.37984263,0.09985363912091,9.227065047,9.465832681
fewest_mandatory_supports,87,5,5,5,0,0,0,0,9.740329267,9.728058856,0.14153075818946823,9.543492447,9.916064837
fewest_mandatory_supports,89,5,5,5,0,0,0,0,9.9846053962,10.024586761,0.13316751245471722,9.755718363,10.089216656
fewest_mandatory_supports,91,5,5,5,0,0,0,0,10.2130544124,10.264527469,0.12269981501161072,9.998146851,10.294956908
fewest_mandatory_supports,93,5,5,5,0,0,0,0,10.275437354000001,10.294056884,0.10182551971888582,10.113734956,10.370573346
fewest_mandatory_supports,95,5,5,5,0,0,0,0,10.6262106716,10.599817134,0.19918739450124665,10.414526918,10.881528379
fewest_mandatory_supports,97,5,5,5,0,0,0,0,10.8074949648,10.821119013,0.2523875805467863,10.556571912,11.132048105
fewest_mandatory_supports,99,5,5,5,0,0,0,0,10.820141555400001,10.841173155,0.0665966107634669,10.7255724,10.903531035
fewest_mandatory_supports,101,5,5,5,0,0,0,0,11.0165112754,11.042396857,0.15170377129222565,10.864279819,11.219697502
fewest_mandatory_supports,103,5,5,5,0,0,0,0,11.066173366,11.115035852,0.11421025843347113,10.927440359,11.18259218
fewest_mandatory_supports,105,5,5,5,0,0,0,0,11.148741748,11.134995632,0.0467040900121969,11.093461341,11.216463045
fewest_mandatory_supports,107,5,5,5,0,0,0,0,11.1426820036,11.156891561,0.1218277627511731,11.017356716,11.328668117
fewest_mandatory_supports,109,5,5,5,0,0,0,0,11.2604042206,11.281263386,0.12232840022605297,11.075846779,11.408665196
fewest_mandatory_supports,111,5,5,5,0,0,0,0,11.3572678558,11.462041577,0.19394809582455055,11.117045668,11.553603713
fewest_mandatory_supports,113,5,5,5,0,0,0,0,11.2551471914,11.324953301,0.1246235802118154,11.06088228,11.360910497
fewest_mandatory_supports,115,5,5,5,0,0,0,0,11.3294592614,11.357944909,0.10986597548084027,11.215495646,11.475352405
fewest_mandatory_supports,117,5,5,5,0,0,0,0,11.4383547724,11.420957281,0.11076212103045535,11.329495886,11.564285719
fewest_mandatory_supports,119,5,5,5,0,0,0,0,11.4363117808,11.300264709,0.24842388184587677,11.229523355,11.772121269
fewest_mandatory_supports,121,5,5,5,0,0,0,0,11.4452386366,11.448005513,0.04880421954210145,11.390504291,11.512100788
fewest_mandatory_supports,123,5,5,5,0,0,0,0,11.594903874,11.457649094,0.24906313572900438,11.4253252,12.009820555
fewest_mandatory_supports,125,5,5,5,0,0,0,0,11.682609897599999,11.672698358,0.09871904042147378,11.594800286,11.846438711
fewest_mandatory_supports,127,5,5,5,0,0,0,0,11.7355723564,11.750407274,0.08047911367178884,11.650558654,11.825206006
fewest_mandatory_supports,129,5,5,5,0,0,0,0,11.7921126216,11.76817249,0.11727696031742768,11.679448378,11.960446858
fewest_mandatory_supports,131,5,5,5,0,0,0,0,11.7504435138,11.699164348,0.13943371900416943,11.594360881,11.926274483
fewest_mandatory_supports,133,5,5,5,0,0,0,0,11.9417600248,11.999145543,0.14451339340554395,11.730713024,12.075055538
fewest_mandatory_supports,135,5,5,5,0,0,0,0,11.8091485856,11.791954978,0.08435675886467502,11.692790501,11.893284012
fewest_mandatory_supports,137,5,5,5,0,0,0,0,11.996822847599999,11.952494792,0.18352121484298597,11.819320409,12.303262939
fewest_mandatory_supports,139,5,5,5,0,0,0,0,11.9930761852,12.019406665,0.10820053173180182,11.81562248,12.083978651
fewest_mandatory_supports,141,5,5,5,0,0,0,0,12.0327985718,11.941940163,0.19747362457128914,11.856866312,12.269953835
fewest_mandatory_supports,143,5,5,5,0,0,0,0,12.021538409,12.043730902,0.19667158450890332,11.794646226,12.29176668
fewest_mandatory_supports,145,5,5,5,0,0,0,0,12.0519201166,12.135938794,0.18570695768653753,11.818554537,12.254921955
fewest_mandatory_supports,147,5,5,5,0,0,0,0,12.4418472212,12.241101356,0.6950838476901886,11.927747501,13.646565641
fewest_mandatory_supports,149,5,5,5,0,0,0,0,12.3362350464,12.441537875,0.3275237841347572,11.960435007,12.7689161
fast_reduce_support,1,5,5,5,0,0,0,0,0.0007210522,0.000732423,2.036202290294361e-05,0.000695819,0.000740779
fast_reduce_support,3,5,5,5,0,0,0,0,0.0059601038,0.00582571,0.00033935559002129333,0.005600509,0.006339202
fast_reduce_support,5,5,5,5,0,0,0,0,0.014776083,0.011172659,0.009639535615501713,0.008405859,0.031881065
fast_reduce_support,7,5,5,5,0,0,0,0,0.0252112702,0.020750543,0.013279658554723113,0.015526675,0.048629902
fast_reduce_support,9,5,5,5,0,0,0,0,0.0340347682,0.031910391,0.012181372520257012,0.02183351,0.054503129
fast_reduce_support,11,5,5,5,0,0,0,0,0.050852648199999996,0.048861149,0.011877290491990046,0.038564781,0.070372699
